id,title,genres,synopsis,rating,images,type
60d49a9d89632c0013ead9da,3 Mexicanos Calientes,['Comedy'],Un creativo director de comerciales sostiene un tórrido romance con una modelo.,TV-MA,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/60d49a9d89632c0013ead9da/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
6058ec03a224c9001bb77696,Tin-Tan: 3 lecciones de amor,['Romance'],Tin-Tan es un vendedor de productos de belleza que conoce aun grupo de hermosas jóvenes que aspiran a ser modelos. Decide ayudarlas y organiza una exhibición de modas que las hace triunfar en la Televisión.,Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/6058ec03a224c9001bb77696/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d719b67bbf8001aab2c91,El Carita,['Comedy'],"Capulina es un solitario que no puede encontrar novia. Un día, por un hechizo amanece como todo un galán. Todas las chicas lo buscan pero el solo quiere lograr el amor de una, a la que por mucho tiempo ha amado en secreto.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d719b67bbf8001aab2c91/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e566c5e4faf09001a385149,Un horca para el texano,['Western'],"Frank, Peter, Robert y Leop Morgan son buscados por todo un pueblo,ya que roban bancos y matan. Pronto un comisario llega para resolver el asesinato del presidente del banco y poner tras las rejas a estos cuatro bandidos.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e566c5e4faf09001a385149/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d724a407e62001baa93c6,El Sargento Capulina,['Comedy'],Capulina quiere convertirse en superhéroe para combatir el crimen. Se enlista en la policía y después de un riguroso entrenamiento llega a ser sargento y confronta a los criminales en una serie de incidentes cómicos.,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d724a407e62001baa93c6/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e58512a3fa84e001a82e478,Capulina contra Los Monstruos,['Comedy'],Capulina lee historias acerca de los monstrous y cree que existen en la realidad. Está muerto de miedo hasta que descubre que son imaginarios.,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e58512a3fa84e001a82e478/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d77994033cb001a4cf63a,Tierra Baja,['Drama'],"Un hombre casado, el más rico del pueblo para proteger a su amante la oblige a casarse con uno de sus pastores. Un ignorante pero valiente pastor que se enfrenta a los lobos. Nadie anticipa que el pastor defenderá a su esposa.",TV-PG,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d77994033cb001a4cf63a/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e58511a4faf09001a389d8c,Ahí viene Martín Corona,['Drama'],"Martín Corona (Pedro Infante) y ""Piporro"" son campeones de los pobres, los desafortunados, y las mujeres, pero Carmen Linares y Rosario Medina no caen por su carisma.",TV-PG,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e58511a4faf09001a389d8c/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
620bd4b5e17acd0013989f61,El Corrido del 8,['Crime'],"La familia de Pedro, un traficante apodado el 8, es masacrada sin piedad. Pedro busca la ayuda de su hermano para que le busque a los mejores gatilleros de la región y así comenzar una encarnizada persecución en contra de los asesinos de su familia.",PG-13,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/620bd4b5e17acd0013989f61/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
620a8196e9e2e90013932fbb,Allá en el Rancho Grande,['Comedy'],"Este clásico del cine mexicano presenta la manera de ser del pueblo, su lucha y el orgullo que siente por su país.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/620a8196e9e2e90013932fbb/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
